subset,class,filename,width,height,aspect_ratio,format,file_size_kb
train,Acne,acne-face-16-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,294,222,1.3243243243243243,JPEG,24.9990234375
train,Acne,acne-077-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,17.2958984375
train,Acne,acne-pustular-74.jpeg,720,479,1.5031315240083507,JPEG,85.1826171875
train,Acne,acne-face-15-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,21.396484375
train,Acne,acne-excoriated-6.jpeg,720,472,1.5254237288135593,JPEG,90.7900390625
train,Acne,acne-cystic-99.jpeg,496,720,0.6888888888888889,JPEG,117.65234375
train,Acne,acne-face-31__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,16.7568359375
train,Acne,acne-face-2-5__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,18.5654296875
train,Acne,acne-pustular-7.jpeg,720,472,1.5254237288135593,JPEG,77.751953125
train,Acne,acne-face-2-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,22.296875
train,Acne,acne-cystic-21.jpeg,720,480,1.5,JPEG,56.265625
train,Acne,acne-face-1-29__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,14.189453125
train,Acne,acne-open-comedo-65.jpeg,478,720,0.6638888888888889,JPEG,103.408203125
train,Acne,190__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,26.8056640625
train,Acne,acne-open-comedo-67.jpeg,480,720,0.6666666666666666,JPEG,85.1923828125
train,Acne,acne-face-1-35__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,17.9619140625
train,Acne,acne-cystic-117.jpeg,482,720,0.6694444444444444,JPEG,79.3427734375
train,Actinic_Keratosis,135213399.jpeg,750,510,1.4705882352941178,JPEG,126.708984375
train,Actinic_Keratosis,images222.jpeg,260,194,1.3402061855670102,JPEG,8.0869140625
train,Actinic_Keratosis,actinic-keratosis-face-35.jpeg,720,472,1.5254237288135593,JPEG,95.767578125
train,Actinic_Keratosis,actinic-keratosis-horn-10.jpeg,720,472,1.5254237288135593,JPEG,74.54296875
train,Actinic_Keratosis,3748__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,24.4462890625
train,Actinic_Keratosis,actinic-keratosis-lesion-3.jpeg,480,720,0.6666666666666666,JPEG,90.0087890625
train,Actinic_Keratosis,images64.jpeg,274,184,1.4891304347826086,JPEG,5.6640625
train,Actinic_Keratosis,actinic-cheilitis-sq-cell-lip-31.jpeg,720,472,1.5254237288135593,JPEG,77.4521484375
train,Actinic_Keratosis,actinic-cheilitis-sq-cell-lip-1.jpeg,720,474,1.518987341772152,JPEG,101.072265625
train,Actinic_Keratosis,images159.jpeg,194,260,0.7461538461538462,JPEG,8.529296875
train,Actinic_Keratosis,actinic-keratosis-pigmented-11.jpeg,720,480,1.5,JPEG,94.1142578125
train,Actinic_Keratosis,images180.jpeg,278,181,1.5359116022099448,JPEG,4.9326171875
train,Actinic_Keratosis,560__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,294,222,1.3243243243243243,JPEG,17.8251953125
train,Actinic_Keratosis,479__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,23.5908203125
train,Actinic_Keratosis,actinic-keratosis-horn-11.jpeg,720,480,1.5,JPEG,76.029296875
train,Actinic_Keratosis,actinic-keratosis-face-28.jpeg,720,480,1.5,JPEG,107.9580078125
train,Actinic_Keratosis,actinic-keratosis-horn-3.jpeg,720,705,1.0212765957446808,JPEG,37.38671875
train,Actinic_Keratosis,567__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,24.501953125
train,Actinic_Keratosis,509__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,15.388671875
train,Actinic_Keratosis,actinic-keratosis-hand-15.jpeg,720,472,1.5254237288135593,JPEG,71.490234375
train,Actinic_Keratosis,actinic-keratosis-5FU-11.jpeg,591,720,0.8208333333333333,JPEG,141.05078125
train,Actinic_Keratosis,images205.jpeg,381,132,2.8863636363636362,JPEG,4.8154296875
train,Actinic_Keratosis,actinic-keratosis-5FU-13.jpeg,603,720,0.8375,JPEG,137.607421875
train,Actinic_Keratosis,actinic-cheilitis-sq-cell-lip-40.jpeg,720,472,1.5254237288135593,JPEG,86.8134765625
train,Actinic_Keratosis,actinic-keratosis-lesion-15.jpeg,485,720,0.6736111111111112,JPEG,124.783203125
train,Actinic_Keratosis,524__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,21.0869140625
train,Actinic_Keratosis,actinic-keratosis-5FU-26.jpeg,472,720,0.6555555555555556,JPEG,103.9970703125
train,Actinic_Keratosis,actinic-keratosis-horn-22.jpeg,720,472,1.5254237288135593,JPEG,71.865234375
train,Actinic_Keratosis,3721__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,21.5185546875
train,Actinic_Keratosis,images220.jpeg,275,183,1.5027322404371584,JPEG,9.029296875
train,Actinic_Keratosis,Bowens-Disease.jpeg,800,600,1.3333333333333333,JPEG,58.373046875
train,Actinic_Keratosis,images242.jpeg,302,167,1.8083832335329342,JPEG,9.123046875
train,Actinic_Keratosis,293__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,31.7314453125
train,Actinic_Keratosis,actinic-cheilitis-sq-cell-lip-35.jpeg,720,472,1.5254237288135593,JPEG,89.3046875
train,Actinic_Keratosis,actinic-keratosis-horn-15.jpeg,720,472,1.5254237288135593,JPEG,64.390625
train,Actinic_Keratosis,546__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,30.0947265625
train,Actinic_Keratosis,actinic-keratosis-5FU-55.jpeg,720,472,1.5254237288135593,JPEG,148.0751953125
train,Actinic_Keratosis,images125.jpeg,258,195,1.323076923076923,JPEG,5.578125
train,Actinic_Keratosis,F1.large.jpeg,1280,850,1.5058823529411764,JPEG,128.302734375
train,Actinic_Keratosis,actinic-cheilitis-sq-cell-lip-39.jpeg,720,472,1.5254237288135593,JPEG,80.2236328125
train,Actinic_Keratosis,actinic-cheilitis-sq-cell-lip-145.jpeg,720,472,1.5254237288135593,JPEG,89.8857421875
train,Actinic_Keratosis,images32.jpeg,245,206,1.1893203883495145,JPEG,6.361328125
train,Actinic_Keratosis,316__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,18.5859375
train,Actinic_Keratosis,3756__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDBd.jpeg,294,222,1.3243243243243243,JPEG,24.9716796875
train,Actinic_Keratosis,467__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,27.9560546875
train,Actinic_Keratosis,images20.jpeg,214,235,0.9106382978723404,JPEG,5.1572265625
train,Actinic_Keratosis,actinic-keratosis-lesion-34.jpeg,720,472,1.5254237288135593,JPEG,106.021484375
train,Actinic_Keratosis,actinic-keratosis-face-44.jpeg,720,472,1.5254237288135593,JPEG,104.5078125
train,Actinic_Keratosis,actinic-keratosis-lesion-12.jpeg,720,472,1.5254237288135593,JPEG,99.9521484375
train,Actinic_Keratosis,actinic-keratosis-ear-7.jpeg,472,720,0.6555555555555556,JPEG,80.8583984375
train,Benign_tumors,epidermal-cyst-100.jpeg,720,478,1.506276150627615,JPEG,67.013671875
train,Benign_tumors,epidermal-cyst-187.jpeg,720,472,1.5254237288135593,JPEG,96.1142578125
train,Benign_tumors,keratoacanthoma-121.jpeg,720,472,1.5254237288135593,JPEG,85.1669921875
train,Benign_tumors,dermatofibroma-61.jpeg,720,472,1.5254237288135593,JPEG,93.19140625
train,Benign_tumors,acquired-digital-fibrokeratoma-7.jpeg,489,720,0.6791666666666667,JPEG,59.6064453125
train,Benign_tumors,nevus-sebaceous-46.jpeg,720,464,1.5517241379310345,JPEG,80.2197265625
train,Benign_tumors,porokeratosis-42.jpeg,720,480,1.5,JPEG,100.5908203125
train,Benign_tumors,keloids-29.jpeg,492,720,0.6833333333333333,JPEG,97.77734375
train,Benign_tumors,skin-tags-polyps-145.jpeg,720,472,1.5254237288135593,JPEG,81.765625
train,Benign_tumors,skin-tags-polyps-22.jpeg,720,485,1.4845360824742269,JPEG,111.0419921875
train,Benign_tumors,skin-tags-polyps-53.jpeg,720,472,1.5254237288135593,JPEG,80.1396484375
train,Benign_tumors,chondrodermatitis-nodularis-54.jpeg,720,480,1.5,JPEG,83.5400390625
train,Benign_tumors,epidermal-nevus-70.jpeg,466,720,0.6472222222222223,JPEG,89.7080078125
train,Benign_tumors,follicular-keratosis-2.jpeg,720,464,1.5517241379310345,JPEG,95.484375
train,Benign_tumors,chondrodermatitis-nodularis-47.jpeg,720,480,1.5,JPEG,108.240234375
train,Benign_tumors,skin-tags-polyps-55.jpeg,720,480,1.5,JPEG,96.3994140625
train,Benign_tumors,epidermal-cyst-97.jpeg,720,480,1.5,JPEG,142.498046875
train,Benign_tumors,keratoacanthoma-129.jpeg,720,480,1.5,JPEG,94.4580078125
train,Benign_tumors,sebaceous-hyperplasia-47.jpeg,720,472,1.5254237288135593,JPEG,91.8515625
train,Benign_tumors,keloids-4.jpeg,720,495,1.4545454545454546,JPEG,97.9375
train,Benign_tumors,syringoma-27.jpeg,720,472,1.5254237288135593,JPEG,78.220703125
train,Benign_tumors,keratoacanthoma-125.jpeg,720,469,1.535181236673774,JPEG,105.677734375
train,Benign_tumors,dermatofibroma-26.jpeg,720,487,1.4784394250513346,JPEG,111.859375
train,Benign_tumors,epidermal-nevus-25.jpeg,720,478,1.506276150627615,JPEG,93.970703125
train,Benign_tumors,dermatofibroma-25.jpeg,720,480,1.5,JPEG,117.2177734375
train,Benign_tumors,epidermal-cyst-127.jpeg,720,480,1.5,JPEG,77.4912109375
train,Benign_tumors,epidermal-cyst-175.jpeg,720,480,1.5,JPEG,106.115234375
train,Benign_tumors,trichofolliculoma-3.jpeg,480,720,0.6666666666666666,JPEG,77.7255859375
train,Benign_tumors,pilar-cyst-49.jpeg,720,487,1.4784394250513346,JPEG,82.0166015625
train,Benign_tumors,chondrodermatitis-nodularis-74.jpeg,720,485,1.4845360824742269,JPEG,73.0068359375
train,Benign_tumors,epidermal-cyst-90.jpeg,473,720,0.6569444444444444,JPEG,96.8125
train,Benign_tumors,chondrodermatitis-nodularis-21.jpeg,480,720,0.6666666666666666,JPEG,74.6865234375
train,Benign_tumors,keratoacanthoma-114.jpeg,720,472,1.5254237288135593,JPEG,77.0849609375
train,Benign_tumors,porokeratosis-62.jpeg,720,464,1.5517241379310345,JPEG,72.9873046875
train,Benign_tumors,porokeratosis-68.jpeg,720,472,1.5254237288135593,JPEG,105.6162109375
train,Benign_tumors,dermatofibroma-69.jpeg,720,472,1.5254237288135593,JPEG,90.77734375
train,Benign_tumors,skin-tags-polyps-51.jpeg,720,472,1.5254237288135593,JPEG,98.958984375
train,Benign_tumors,nevus-sebaceous-53.jpeg,720,480,1.5,JPEG,131.828125
train,Benign_tumors,keratoacanthoma-166.jpeg,720,472,1.5254237288135593,JPEG,94.677734375
train,Benign_tumors,nevus-sebaceous-58.jpeg,720,475,1.5157894736842106,JPEG,153.46875
train,Benign_tumors,keratoacanthoma-100.jpeg,720,472,1.5254237288135593,JPEG,121.8466796875
train,Benign_tumors,keloids-5.jpeg,490,720,0.6805555555555556,JPEG,99.3134765625
train,Benign_tumors,skin-tags-polyps-20.jpeg,720,482,1.4937759336099585,JPEG,110.3037109375
train,Benign_tumors,porokeratosis-38.jpeg,720,472,1.5254237288135593,JPEG,136.5576171875
train,Benign_tumors,chondrodermatitis-nodularis-77.jpeg,490,720,0.6805555555555556,JPEG,73.35546875
train,Benign_tumors,keratoacanthoma-139.jpeg,720,472,1.5254237288135593,JPEG,51.9453125
train,Benign_tumors,porokeratosis-23.jpeg,720,480,1.5,JPEG,76.1201171875
train,Benign_tumors,porokeratosis-6.jpeg,720,485,1.4845360824742269,JPEG,87.32421875
train,Benign_tumors,epidermal-cyst-119.jpeg,720,472,1.5254237288135593,JPEG,52.287109375
train,Benign_tumors,keloids-30.jpeg,720,500,1.44,JPEG,101.982421875
train,Bullous,bullous-pemphigoid-12.jpeg,480,720,0.6666666666666666,JPEG,82.9912109375
train,Bullous,diabetic-bullae-14.jpeg,720,490,1.469387755102041,JPEG,59.1533203125
train,Bullous,epidermolysis-bullosa-46.jpeg,720,502,1.4342629482071714,JPEG,106.23828125
train,Bullous,images214.jpeg,280,180,1.5555555555555556,JPEG,5.2607421875
train,Bullous,stock-photo-bullous-impetigo-in-old-women-hand-1639164196.jpeg,1500,1225,1.2244897959183674,JPEG,1812.892578125
train,Bullous,dermatitis-herpetiformis-72.jpeg,490,720,0.6805555555555556,JPEG,70.203125
train,Bullous,images337.jpeg,194,259,0.749034749034749,JPEG,8.140625
train,Bullous,dermatitis-herpetiformis-71.jpeg,720,510,1.411764705882353,JPEG,86.57421875
train,Bullous,F1.large.jpeg,1280,1207,1.0604805302402651,JPEG,235.1083984375
train,Bullous,images391.jpeg,426,118,3.610169491525424,JPEG,4.4052734375
train,Bullous,epidermolysis-bullosa-47.jpeg,501,720,0.6958333333333333,JPEG,71.3798828125
train,Bullous,bullous-pemphigoid-110.jpeg,474,720,0.6583333333333333,JPEG,92.3349609375
train,Bullous,bullous-pemphigoid-6.jpeg,720,472,1.5254237288135593,JPEG,84.38671875
train,Bullous,F1.large2.jpeg,1280,1158,1.1053540587219344,JPEG,159.5244140625
train,Bullous,images169.jpeg,248,203,1.2216748768472907,JPEG,8.546875
train,Bullous,epidermolysis-bullosa-58.jpeg,720,474,1.518987341772152,JPEG,97.712890625
train,Bullous,images72.jpeg,275,183,1.5027322404371584,JPEG,7.9658203125
train,Bullous,gr1.jpeg,1250,530,2.358490566037736,JPEG,88.251953125
train,Bullous,images227.jpeg,260,194,1.3402061855670102,JPEG,6.015625
train,Bullous,dermatitis-herpetiformis-90.jpeg,720,486,1.4814814814814814,JPEG,75.5986328125
train,Bullous,images368.jpeg,184,274,0.6715328467153284,JPEG,9.1650390625
train,Bullous,images140.jpeg,270,186,1.4516129032258065,JPEG,4.83984375
train,Bullous,figure-4-blistering__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDBd.jpeg,294,222,1.3243243243243243,JPEG,26.982421875
train,Bullous,epidermolysis-bullosa-16.jpeg,720,463,1.5550755939524838,JPEG,82.5888671875
train,Bullous,images284.jpeg,259,194,1.3350515463917525,JPEG,7.0263671875
train,Bullous,bullous-pemphigoid-67.jpeg,720,487,1.4784394250513346,JPEG,97.802734375
train,Bullous,images295.jpeg,277,182,1.521978021978022,JPEG,3.1689453125
train,Bullous,images114.jpeg,235,215,1.0930232558139534,JPEG,5.1982421875
train,Bullous,images191.jpeg,300,168,1.7857142857142858,JPEG,4.5224609375
train,Bullous,images202.jpeg,272,185,1.4702702702702704,JPEG,5.0703125
train,Bullous,epidermolysis-bullosa-8.jpeg,720,472,1.5254237288135593,JPEG,72.53515625
train,Bullous,bullous-pemphigoid.jpeg,1200,1200,1.0,JPEG,43.412109375
train,Bullous,images6.jpeg,275,183,1.5027322404371584,JPEG,4.822265625
train,Bullous,diabetic-bullae-16.jpeg,467,720,0.6486111111111111,JPEG,55.5126953125
train,Bullous,images197.jpeg,194,259,0.749034749034749,JPEG,8.5
train,Bullous,images240.jpeg,260,194,1.3402061855670102,JPEG,7.1376953125
train,Bullous,images7.jpeg,319,158,2.018987341772152,JPEG,5.4111328125
train,Bullous,images91.jpeg,258,196,1.316326530612245,JPEG,3.3193359375
train,Bullous,images160.jpeg,246,204,1.2058823529411764,JPEG,4.849609375
train,Bullous,epidermolysis-bullosa-26.jpeg,488,720,0.6777777777777778,JPEG,66.5673828125
train,Bullous,epidermolysis-bullosa-38.jpeg,502,720,0.6972222222222222,JPEG,75.8935546875
train,Bullous,cadermlookalikescase1image_1505958.jpeg,2000,1500,1.3333333333333333,JPEG,850.779296875
train,Bullous,images357.jpeg,247,204,1.2107843137254901,JPEG,8.05859375
train,Bullous,diabetic-bullae-8.jpeg,480,720,0.6666666666666666,JPEG,77.052734375
train,Bullous,images328.jpeg,268,188,1.425531914893617,JPEG,3.7333984375
train,Bullous,bullous-pemphigoid-107.jpeg,720,474,1.518987341772152,JPEG,104.1630859375
train,Bullous,images109.jpeg,258,195,1.323076923076923,JPEG,4.3623046875
train,Bullous,bullous-pemphigoid-87.jpeg,720,483,1.4906832298136645,JPEG,96.9892578125
train,Bullous,nejm199511303332207_f1.jpeg,800,1123,0.7123775601068566,JPEG,185.9072265625
train,Bullous,image19.jpeg,224,225,0.9955555555555555,JPEG,5.4970703125
train,Candidiasis,candidiasis-large-skin-folds-144.jpeg,720,472,1.5254237288135593,JPEG,82.212890625
train,Candidiasis,candidiasis-large-skin-folds-136.jpeg,720,477,1.509433962264151,JPEG,110.9794921875
train,Candidiasis,candida-groin-5.jpeg,720,472,1.5254237288135593,JPEG,100.15625
train,Candidiasis,candidiasis-vaginal-3.jpeg,720,472,1.5254237288135593,JPEG,105.69140625
train,Candidiasis,candidiasis-large-skin-folds-100.jpeg,464,720,0.6444444444444445,JPEG,62.96875
train,Candidiasis,candidiasis-diaper-25.jpeg,720,688,1.0465116279069768,JPEG,106.3173828125
train,Candidiasis,candidiasis-diaper-21.jpeg,720,477,1.509433962264151,JPEG,76.0712890625
train,Candidiasis,candidiasis-mouth-11.jpeg,720,485,1.4845360824742269,JPEG,84.6025390625
train,Candidiasis,candida-penis-2.jpeg,720,472,1.5254237288135593,JPEG,77.142578125
train,Candidiasis,1307-big__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,20.1904296875
train,Candidiasis,candidiasis-diaper-10.jpeg,720,599,1.2020033388981637,JPEG,101.4814453125
train,Candidiasis,candidiasis-vaginal-4.jpeg,720,472,1.5254237288135593,JPEG,148.435546875
train,Candidiasis,candidiasis-large-skin-folds-171.jpeg,720,470,1.5319148936170213,JPEG,80.830078125
train,Candidiasis,candidiasis-large-skin-folds-11.jpeg,720,472,1.5254237288135593,JPEG,88.1083984375
train,Candidiasis,1310__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,19.3779296875
train,Candidiasis,candida-penis-51.jpeg,720,490,1.469387755102041,JPEG,70.375
train,Candidiasis,candida-penis-40.jpeg,473,720,0.6569444444444444,JPEG,45.4599609375
train,Candidiasis,candidiasis-large-skin-folds-93.jpeg,466,720,0.6472222222222223,JPEG,105.302734375
train,Candidiasis,candida-penis-31.jpeg,468,720,0.65,JPEG,46.9658203125
train,Candidiasis,candidiasis-diaper-16.jpeg,720,479,1.5031315240083507,JPEG,78.47265625
train,Candidiasis,candidiasis-large-skin-folds-141.jpeg,720,499,1.4428857715430863,JPEG,100.701171875
train,Candidiasis,candidiasis-chronic-mucocutaneous-2.jpeg,422,389,1.0848329048843188,JPEG,46.125
train,Candidiasis,candida-penis-33.jpeg,720,472,1.5254237288135593,JPEG,45.6513671875
train,Candidiasis,candidiasis-large-skin-folds-173.jpeg,720,472,1.5254237288135593,JPEG,76.21484375
train,Candidiasis,candidiasis-large-skin-folds-129.jpeg,474,720,0.6583333333333333,JPEG,126.8857421875
train,Candidiasis,candida-penis-39.jpeg,466,720,0.6472222222222223,JPEG,48.9658203125
train,Candidiasis,13CandidaAxillae0712041.jpeg,720,472,1.5254237288135593,JPEG,73.26953125
train,Candidiasis,candidiasis-large-skin-folds-176.jpeg,720,608,1.1842105263157894,JPEG,153.345703125
train,Candidiasis,1296__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,18.76171875
train,Candidiasis,1285-small__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,294,222,1.3243243243243243,JPEG,8.865234375
train,Candidiasis,candida-penis-13.jpeg,720,472,1.5254237288135593,JPEG,79.4921875
train,Candidiasis,candida-penis-44.jpeg,720,469,1.535181236673774,JPEG,72.5595703125
train,Candidiasis,candida-penis-25.jpeg,476,720,0.6611111111111111,JPEG,53.103515625
train,Candidiasis,candida-penis-38.jpeg,720,469,1.535181236673774,JPEG,51.0341796875
train,Candidiasis,13Candida040702.jpeg,720,472,1.5254237288135593,JPEG,68.4130859375
train,Candidiasis,candidiasis-diaper-2.jpeg,720,464,1.5517241379310345,JPEG,75.1630859375
train,Candidiasis,candidiasis-mouth-15.jpeg,720,477,1.509433962264151,JPEG,87.68359375
train,Candidiasis,candidiasis-large-skin-folds-10.jpeg,720,472,1.5254237288135593,JPEG,86.517578125
train,Candidiasis,candida-barbae-19__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,21.947265625
train,Candidiasis,candidiasis-diaper-29.jpeg,720,474,1.518987341772152,JPEG,102.17578125
train,Candidiasis,candidiasis-diaper-11.jpeg,467,720,0.6486111111111111,JPEG,76.216796875
train,Candidiasis,candidiasis-large-skin-folds-2.jpeg,720,480,1.5,JPEG,86.2568359375
train,Candidiasis,1311__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,20.443359375
train,Candidiasis,Candida-penis-765.jpeg,471,720,0.6541666666666667,JPEG,70.6689453125
train,Candidiasis,candidiasis-large-skin-folds-105.jpeg,475,720,0.6597222222222222,JPEG,94.4453125
train,Candidiasis,candidiasis-mouth-7.jpeg,720,474,1.518987341772152,JPEG,83.673828125
train,Candidiasis,candidiasis-large-skin-folds-106.jpeg,720,474,1.518987341772152,JPEG,82.0859375
train,Candidiasis,candidiasis-large-skin-folds-111.jpeg,720,475,1.5157894736842106,JPEG,76.7900390625
train,Candidiasis,1311-small__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,1.3243243243243243,JPEG,13.583984375
train,Candidiasis,13CandidaBreast030804.jpeg,720,472,1.5254237288135593,JPEG,81.251953125
train,DrugEruption,images245.jpeg,296,170,1.7411764705882353,JPEG,2.7333984375
train,DrugEruption,images157.jpeg,259,194,1.3350515463917525,JPEG,5.220703125
train,DrugEruption,fixed-drug-eruption-73.jpeg,489,720,0.6791666666666667,JPEG,83.330078125
